id,theme,question_text,option_a,option_b,option_c,option_d,correct_answer,image_url
175,Symboles,Quel symbole bahá’í est représenté ici ?,L’étoile à neuf branches,Le symbole du plus grand nom,Le sceau du Báb,Le symbole de la main,Le symbole du plus grand nom,symbole_plus_grand_nom.png
176,Symboles,Quel symbole bahá’í est représenté ici ?,L’étoile à neuf branches,Le symbole du plus grand nom,Le sceau du Báb,Le symbole de la main,Le sceau du Báb,sceau_bab.png
177,Lieux Saints,Quel est ce lieu saint bahá’í ?,Tombeau du Báb,Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Santiango,Tombeau du Báb,tombeau_bab.jpg
178,Lieux Saints,Quel est ce lieu saint bahá’í ?,"Maison d’Adoration de Apia, Samoa",Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Sydney,Tombeau de Bahá’u’lláh,tombeau_bahaullah.png
179,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration de Sydney,Tombeau de Bahá’u’lláh,Maison d’Adoration de Apia,Maison d’Adoration de Sydney,Maison d’Adoration de Apia,apia.png
180,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration de Santiango,Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Battambang,Maison d’Adoration de Battambang,battambang.png
181,Lieux Saints,Quel est ce lieu saint bahá’í ?,Tombeau du Báb,Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Santiango,Tombeau du Báb,tombeau_bab.png
182,Lieux Saints,Quel est ce lieu saint bahá’í ?,"Maison d’Adoration de Apia, Samoa",Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Sydney,Tombeau de Bahá’u’lláh,tombeau_bahaullah.png
183,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration de Sydney,Tombeau de Bahá’u’lláh,"Maison d’Adoration de Apia, Samoa",Maison d’Adoration de Sydney,Maison d’Adoration de Apia,apia.png
184,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration de Santiango,Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Battambang,Maison d’Adoration de Battambang,battambang.png
185,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration de Panama,Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Chicago,Maison d’Adoration de Chicago,chicago.png
186,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration de Kinshasa,Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Kampala,Maison d’Adoration de kampala,kampala.png
187,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration de New delhi,Tombeau de Bahá’u’lláh,Maison d’Adoration de Kinshasa,Maison d’Adoration de Sydney,Maison d’Adoration de Kinshasa,kinshasa.png
188,Lieux Saints,Quel est ce lieu saint bahá’í ?,Tombeau du Báb,Maison d’Adoration de langenhain,"Maison d’Adoration de Tanna, Vanuatu",Maison d’Adoration de Sydney,Maison d’Adoration de langenhain,langenhain.png
189,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison Universelle de Justice,Maison d’Adoration Chicago,Maison d’Adoration de New Delhi,Maison d’Adoration de Sydney,Maison Universelle de Justice,muj.png
190,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration Chicago,Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Sydney,Maison d’Adoration de New delhi,newDehli.png
191,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration de Panama,Tombeau de Bahá’u’lláh,Maison d’Adoration de New Delhi,Maison d’Adoration de Sydney,Maison d’Adoration de Panama,panama.png
192,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration Chicago,Tombeau de Bahá’u’lláh,Maison d’Adoration de Santiango,Maison d’Adoration de Sydney,Maison d’Adoration de Santiango,santiango.png
193,Lieux Saints,Quel est ce lieu saint bahá’í ?,Maison d’Adoration de Kampala,Maison d’Adoration de Kinshasa,Maison d’Adoration de New Delhi,Maison d’Adoration de Sydney,Maison d’Adoration de Sydney,sydney.png
194,Lieux Saints,Quel est ce lieu saint bahá’í ?,Tombeau du Báb,Tombeau de Bahá’u’lláh,Maison d’Adoration de Tanna,Maison d’Adoration de Sydney,Maison d’Adoration de Tanna,tanna.png
